epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.867,2.17978,3.73156,2.5434,0.00389,1,0.1421,0.04324,2.17428,4.44066,2.5988,0.00011669,0.00011669,0.00011669
2,47.6563,1.64385,3.38247,2.02716,0.00363,1,0.54283,0.26672,1.33747,3.88048,1.68395,0.000247575,0.000247575,0.000247575
3,70.6858,1.46817,3.1325,1.78686,0.00339,1,0.61122,0.36308,1.22107,3.68366,1.5612,0.000375818,0.000375818,0.000375818
4,93.3838,1.352,2.74869,1.6579,0.00394,1,0.53562,0.28429,1.29905,3.6587,1.5947,0.000501422,0.000501422,0.000501422
5,117.131,1.29451,2.63604,1.6613,0.00398,1,0.53685,0.22042,1.52435,3.79116,2.24234,0.000624385,0.000624385,0.000624385
6,140.907,1.34493,2.42838,1.65679,0.00357,1,0.63864,0.42674,1.07042,3.41992,1.52267,0.000744707,0.000744707,0.000744707
7,164.111,1.37161,2.33469,1.65175,0.00354,1,0.60058,0.35933,1.16611,3.37074,1.50922,0.000862389,0.000862389,0.000862389
8,188.118,1.26157,2.25295,1.57307,0.43727,0.75,0.65216,0.2387,1.36282,3.52096,1.71948,0.00097743,0.00097743,0.00097743
9,211.938,1.36259,2.11164,1.62787,0.40316,0.46667,0.73736,0.25507,1.46809,3.48324,1.85062,0.00108983,0.00108983,0.00108983
10,235.74,1.30376,2.07374,1.56632,0.53159,1,0.66196,0.45247,1.14217,2.91484,1.58497,0.00119959,0.00119959,0.00119959
11,260.465,1.47077,2.1352,1.70458,0.52142,0.60206,0.62668,0.2644,1.41719,3.16106,1.86557,0.00130671,0.00130671,0.00130671
12,284.011,1.42427,2.10706,1.67789,0.49116,0.61667,0.72415,0.27611,1.41869,3.40238,1.83644,0.00141119,0.00141119,0.00141119
13,307.595,1.20891,1.91669,1.49244,0.64671,0.93622,0.69783,0.43736,1.07273,2.3962,1.39952,0.00146896,0.00146896,0.00146896
14,331.507,1.21787,1.86568,1.48155,0.55762,0.9,0.63069,0.41098,1.08076,2.29773,1.4348,0.00145246,0.00145246,0.00145246
15,355.2,1.2215,1.86474,1.49056,0.41476,0.66667,0.58421,0.27572,1.50304,2.88813,1.88734,0.00143595,0.00143595,0.00143595
16,378.648,1.3164,1.93334,1.56327,0.65113,0.79367,0.83665,0.47708,1.27903,2.26144,1.71358,0.00141945,0.00141945,0.00141945
17,405.777,1.26926,1.7946,1.50821,0.21053,0.63333,0.24132,0.10772,1.78191,3.17426,2.09807,0.00140295,0.00140295,0.00140295
18,438.891,1.19312,1.71393,1.45769,0.49867,0.85442,0.6163,0.35304,1.52135,2.54745,1.91263,0.00138644,0.00138644,0.00138644
19,471.469,1.26563,1.69675,1.50062,0.66114,0.64388,0.66286,0.24858,2.0921,2.76646,2.34304,0.00136994,0.00136994,0.00136994
20,497.652,1.35324,1.77582,1.58296,0.26607,0.13333,0.12641,0.05571,2.91028,4.01251,2.73012,0.00135344,0.00135344,0.00135344
21,519.999,1.30107,1.60298,1.53438,0.00065,0.15,0.00132,0.00015,4.31758,4.74683,3.42337,0.00133693,0.00133693,0.00133693
22,542.423,1.25063,1.67561,1.53495,0.46921,0.28333,0.31463,0.17961,1.77221,3.15316,1.83894,0.00132043,0.00132043,0.00132043
23,566.081,1.33506,1.64814,1.48507,0.72952,0.0459,0.1717,0.08323,2.36356,3.57285,2.27733,0.00130393,0.00130393,0.00130393
24,589.191,1.21485,1.55323,1.44469,0.55029,0.56191,0.64657,0.33968,1.92382,2.48442,1.83946,0.00128742,0.00128742,0.00128742
25,612.037,1.16546,1.37155,1.3861,0.56832,0.89522,0.80382,0.52441,1.33477,1.7763,1.59166,0.00127092,0.00127092,0.00127092
26,635.122,1.16969,1.44174,1.44027,0.41216,0.87794,0.72459,0.37192,1.44207,2.14871,1.75035,0.00125442,0.00125442,0.00125442
27,658.2,1.20916,1.4104,1.5183,0.69185,0.58333,0.73802,0.47779,1.29035,2.268,1.49186,0.00123791,0.00123791,0.00123791
28,681.033,1.16228,1.42672,1.42329,0.66985,0.63399,0.59776,0.264,2.17408,2.27105,2.21427,0.00122141,0.00122141,0.00122141
29,703.802,1.12781,1.34345,1.3399,0.75421,0.76667,0.81616,0.48582,1.41821,1.61555,1.61568,0.00120491,0.00120491,0.00120491
30,726.538,1.11447,1.31224,1.31729,0.77656,0.7499,0.79085,0.4728,1.3886,1.6222,1.58018,0.0011884,0.0011884,0.0011884
31,749.135,1.14408,1.24434,1.4372,0.64234,0.79267,0.67473,0.3915,1.39971,2.06505,1.70078,0.0011719,0.0011719,0.0011719
32,772.06,1.21579,1.2549,1.38889,0.51745,0.77274,0.64531,0.29571,1.90192,2.44194,2.15365,0.0011554,0.0011554,0.0011554
33,795.261,1.10496,1.11305,1.35244,0.64954,0.86667,0.77094,0.47075,1.42529,1.54996,1.74462,0.00113889,0.00113889,0.00113889
34,818.384,1.11231,1.11079,1.33413,0.76483,0.77305,0.74651,0.33945,1.8271,1.74405,2.17534,0.00112239,0.00112239,0.00112239
35,843.194,1.06863,1.11233,1.29266,0.68994,0.92392,0.7622,0.42512,1.5472,1.59911,1.83988,0.00110589,0.00110589,0.00110589
36,872.455,1.0743,1.04974,1.33762,0.57519,0.78333,0.68713,0.19288,2.46294,2.42628,3.39485,0.00108938,0.00108938,0.00108938
37,903.994,1.0947,1.13546,1.33216,0.74241,0.76667,0.80539,0.47878,1.46074,1.65312,1.84246,0.00107288,0.00107288,0.00107288
38,934.928,1.13674,1.12925,1.44479,0.79164,0.79419,0.79438,0.49998,1.44817,1.71898,1.78138,0.00105638,0.00105638,0.00105638
39,959.221,1.05101,1.02632,1.29925,0.76258,0.76557,0.78121,0.57038,1.03992,1.35694,1.35092,0.00103987,0.00103987,0.00103987
40,988.274,1.02399,1.08358,1.28226,0.72873,0.76667,0.76447,0.52401,1.26831,1.57063,1.524,0.00102337,0.00102337,0.00102337
41,1012.32,1.10199,1.09912,1.36327,0.76426,0.8393,0.70489,0.49245,1.14148,1.64245,1.43688,0.00100687,0.00100687,0.00100687
42,1035.68,1.05631,0.99727,1.28954,0.65135,0.84793,0.81332,0.56239,1.14307,1.44369,1.44293,0.000990365,0.000990365,0.000990365
43,1058.61,1.13243,1.09858,1.34655,0.67122,0.9,0.84753,0.57235,1.17215,1.17823,1.41509,0.000973861,0.000973861,0.000973861
44,1081.78,1.04292,0.96504,1.31599,0.68226,0.94404,0.84571,0.60437,1.08954,1.26819,1.35777,0.000957358,0.000957358,0.000957358
45,1104.92,1.07126,1.05728,1.29871,0.82318,0.85,0.73739,0.51104,1.19681,1.38162,1.47149,0.000940855,0.000940855,0.000940855
46,1127.81,1.0143,0.98692,1.30951,0.82332,0.85,0.73855,0.49632,1.15602,1.44079,1.40058,0.000924352,0.000924352,0.000924352
47,1150.61,1.01683,0.92397,1.27435,0.78167,0.8,0.68128,0.4486,1.23859,1.66485,1.48657,0.000907848,0.000907848,0.000907848
48,1173.76,1.01134,0.99035,1.28872,0.87329,0.80593,0.78242,0.52277,1.20407,1.45244,1.46034,0.000891345,0.000891345,0.000891345
49,1196.98,0.9722,0.91755,1.24942,0.7871,0.8,0.66468,0.43736,1.27187,1.67985,1.55178,0.000874842,0.000874842,0.000874842
50,1220.15,0.97768,0.99411,1.25668,0.77775,0.75583,0.64494,0.43242,1.13676,1.70717,1.42209,0.000858338,0.000858338,0.000858338
51,1243.37,1.02309,0.87297,1.25675,0.70059,0.69695,0.62622,0.41373,1.16056,2.02234,1.43132,0.000841835,0.000841835,0.000841835
52,1266.43,0.94184,0.84438,1.24776,0.79347,0.8,0.86557,0.54159,1.32603,1.38892,1.58233,0.000825332,0.000825332,0.000825332
53,1295.22,0.93876,0.90054,1.21935,0.68856,0.99152,0.87176,0.60286,1.16593,1.04278,1.46659,0.000808828,0.000808828,0.000808828
54,1324.15,0.88411,0.84389,1.21496,0.73779,0.94327,0.88083,0.52624,1.46178,1.07289,1.71996,0.000792325,0.000792325,0.000792325
55,1353.47,0.99207,0.84244,1.22497,0.86294,0.81457,0.82524,0.53048,1.31783,1.23799,1.6109,0.000775822,0.000775822,0.000775822
56,1382.84,0.97696,0.88579,1.26981,0.7854,0.8,0.76728,0.44727,1.53844,1.34902,1.88859,0.000759318,0.000759318,0.000759318
57,1412.06,0.97449,0.8771,1.23905,0.79043,0.8,0.69635,0.52105,1.04075,1.42331,1.37014,0.000742815,0.000742815,0.000742815
58,1440.92,1.0069,0.88724,1.23335,0.66584,0.92415,0.78567,0.53855,1.14428,1.1695,1.46825,0.000726312,0.000726312,0.000726312
59,1469.95,1.01882,0.91647,1.4159,0.72705,0.91992,0.81123,0.56351,1.11785,1.17556,1.43929,0.000709809,0.000709809,0.000709809
60,1499,0.92006,0.80087,1.24482,0.78099,0.8,0.82211,0.51987,1.29634,1.35518,1.61012,0.000693305,0.000693305,0.000693305
61,1528.21,0.97865,0.73187,1.22247,0.75375,0.76017,0.69442,0.43243,1.35885,1.71368,1.82832,0.000676802,0.000676802,0.000676802
62,1557.54,1.01061,0.81864,1.29137,0.75438,0.79727,0.73816,0.4995,1.21576,1.53245,1.59588,0.000660299,0.000660299,0.000660299
63,1587.1,0.93019,0.79703,1.19169,0.79312,0.8928,0.83555,0.5395,1.30878,1.17059,1.59762,0.000643795,0.000643795,0.000643795
64,1616.95,0.86616,0.73882,1.14228,0.7824,0.89502,0.88125,0.56859,1.36814,1.08247,1.68235,0.000627292,0.000627292,0.000627292
65,1646.46,0.85168,0.74019,1.17473,0.79117,0.89853,0.90125,0.58815,1.24344,0.99891,1.56831,0.000610789,0.000610789,0.000610789
66,1675.54,0.85974,0.69278,1.14362,0.80705,0.9,0.87941,0.52452,1.40894,1.08133,1.64239,0.000594286,0.000594286,0.000594286
67,1704.63,0.91564,0.86118,1.18503,0.82474,0.83748,0.8737,0.55363,1.29316,1.21357,1.53597,0.000577782,0.000577782,0.000577782
68,1733.76,0.83906,0.71083,1.17833,0.79015,0.8471,0.84297,0.61165,1.05725,1.16022,1.40104,0.000561279,0.000561279,0.000561279
69,1762.54,0.91641,0.74338,1.17489,0.70548,0.9,0.82225,0.59303,1.0676,1.25058,1.46192,0.000544776,0.000544776,0.000544776
70,1791.67,0.86961,0.6689,1.17087,0.71506,0.9,0.83033,0.58165,1.08901,1.29264,1.49501,0.000528272,0.000528272,0.000528272
71,1821.09,0.89016,0.73999,1.21367,0.87178,0.80844,0.92757,0.68874,0.93264,1.11753,1.36908,0.000511769,0.000511769,0.000511769
72,1850.09,0.92161,0.73073,1.19935,0.77413,0.9,0.94421,0.69451,1.03249,1.10681,1.4273,0.000495266,0.000495266,0.000495266
73,1879.14,0.83152,0.72851,1.18067,0.79676,0.80346,0.90778,0.59967,1.27734,1.3168,1.68904,0.000478762,0.000478762,0.000478762
74,1907.9,0.8485,0.76163,1.19581,0.79279,0.8,0.85337,0.58898,1.17396,1.32349,1.54749,0.000462259,0.000462259,0.000462259
75,1937.08,0.80008,0.8236,1.11727,0.77146,0.8,0.75864,0.5408,1.09548,1.41187,1.50375,0.000445756,0.000445756,0.000445756
76,1966.04,0.85232,0.71812,1.15505,0.7885,0.8,0.865,0.58101,1.21771,1.25564,1.60137,0.000429253,0.000429253,0.000429253
77,1995.15,0.82594,0.70462,1.14085,0.75646,0.89004,0.85377,0.61314,1.03767,1.01283,1.41574,0.000412749,0.000412749,0.000412749
78,2024.11,0.81702,0.64626,1.10779,0.73793,0.88687,0.87026,0.63151,1.08571,1.03273,1.52061,0.000396246,0.000396246,0.000396246
79,2052.89,0.70648,0.5973,1.0953,0.70651,0.9,0.81162,0.55222,1.18104,1.19101,1.5978,0.000379743,0.000379743,0.000379743
80,2082.57,0.72986,0.58967,1.07917,0.77549,0.84634,0.84156,0.55701,1.18363,1.23699,1.57263,0.000363239,0.000363239,0.000363239
81,2111.96,0.83512,0.63785,1.13799,0.77349,0.84252,0.81774,0.58587,1.07519,1.29462,1.5189,0.000346736,0.000346736,0.000346736
82,2141.47,0.77023,0.61256,1.10348,0.76003,0.84439,0.84093,0.61116,1.07341,1.34464,1.53534,0.000330233,0.000330233,0.000330233
83,2170.67,0.81134,0.60531,1.08705,0.78946,0.84683,0.83421,0.59733,1.06184,1.19129,1.50945,0.000313729,0.000313729,0.000313729
